Id,SalePrice
1461,138050.84144734673
1462,149389.4208983894
1463,178053.52449888393
1464,170102.59864449405
1465,229997.25945348083
1466,178053.52449888393
1467,178053.52449888393
1468,178053.52449888393
1469,178527.7613652637
1470,138050.84144734673
1471,198628.85907772847
1472,104443.42866330263
1473,104443.42866330263
1474,143025.93170813992
1475,137832.3600628934
1476,386292.04604726157
1477,215827.14272744136
1478,336318.4861547431
1479,336318.4861547431
1480,386292.04604726157
1481,215827.14272744136
1482,215827.14272744136
1483,201414.00690524984
1484,191630.89769356055
1485,201414.00690524984
1486,201414.00690524984
1487,377020.642647052
1488,205156.61630423478
1489,205156.61630423478
1490,250739.958440357
1491,213068.75061916246
1492,113912.98980247867
1493,132949.47587251704
1494,294010.5791562973
1495,294010.5791562973
1496,250739.958440357
1497,205156.61630423478
1498,205156.61630423478
1499,205156.61630423478
1500,205156.61630423478
1501,205156.61630423478
1502,205156.61630423478
1503,250739.958440357
1504,205156.61630423478
1505,205156.61630423478
1506,165010.10352046884
1507,190398.48150519238
1508,187027.85684867494
1509,165010.10352046884
1510,138050.84144734673
1511,156263.669038339
1512,149389.4208983894
1513,138050.84144734673
1514,138050.84144734673
1515,150037.21619780659
1516,138050.84144734673
1517,149389.4208983894
1518,138050.84144734673
1519,198628.85907772847
1520,138050.84144734673
1521,138050.84144734673
1522,138050.84144734673
1523,138050.84144734673
1524,125423.69992332939
1525,138050.84144734673
1526,138050.84144734673
1527,138050.84144734673
1528,138050.84144734673
1529,138050.84144734673
1530,138050.84144734673
1531,108086.25164174712
1532,108086.25164174712
1533,139340.18438668293
1534,125196.92668061721
1535,139340.18438668293
1536,108086.25164174712
1537,110577.872675232
1538,173123.7486305804
1539,111402.77926511785
1540,92558.81074311299
1541,110577.872675232
1542,126134.38043837299
1543,167588.34068788102
1544,174244.2322294245
1545,126134.38043837299
1546,126134.38043837299
1547,174244.2322294245
1548,126134.38043837299
1549,126134.38043837299
1550,126134.38043837299
1551,110577.872675232
1552,108086.25164174712
1553,173123.7486305804
1554,108086.25164174712
1555,201233.21399705022
1556,201233.21399705022
1557,117304.0179863252
1558,101522.4828320349
1559,143517.7003187227
1560,143517.7003187227
1561,106143.64807503353
1562,137447.68376708726
1563,132949.47587251704
1564,145277.31145616723
1565,132949.47587251704
1566,215947.19480792663
1567,107916.67269560343
1568,219229.06521198407
1569,128371.68952810462
1570,146694.43009023106
1571,113497.96400634472
1572,113497.96400634472
1573,161918.84447907459
1574,113497.96400634472
1575,213068.75061916246
1576,213068.75061916246
1577,203130.30120437872
1578,82949.27979183807
1579,142177.8989044302
1580,142177.8989044302
1581,159938.7625906009
1582,128473.83948467448
1583,203130.30120437872
